"ID","Name","Category","Description","OrgSyncID"
1,"A caBellas","Arts","A caBellas is a women's a cappella group that performs on and off Xavier's campus. A caBellas sings a variety of songs ranging from old classics to music that is popular today.",60015
2,"A Xavier Christmas","Service & Social Justice","Xavier Christmas is a student run organization that aims to bring the joy of Christmas to local elementary school students. The event is a one time occurrence in December each year, and has been taking place at Xavier for 4 years. The Xavier Christmas Committee works to invite and prepare for 180 local students to come to campus for the afternoon and experience a Christmas celebration. While at Xavier University, the students partake in various activities alongside their Xavier buddy such as: games, arts and crafts, a Harmon-X performance, the lighting of the Christmas tree, and a break for pizza, cookies, and drinks. The children also get to see Santa, as well as a Live Nativity Scene on the Greenspace.",33296
3,"Accounting Society","Business","The Accounting Society seeks to provide students majoring in or interested in accounting opportunities to network with professionals, faculty and other students. In addition to networking opportunities, the Accounting Society provides opportunities for professional development and leadership, and is involved in various community service projects throughout the academic year.",33509
5,"Actuarial Science Club","STEM","Actuarial Science Club provides opportunities for students who are interested in pursuing a career in Actuarial Science such as: meetings and networking events with guest speakers from local insurance companies who provide insight into the profession. Students can expand their knowledge of the Actuarial Science career path. The Actuarial Science Club also seeks to provide an environment in which studying for the professional exams is of the utmost importance through group study sessions. These opportunities will provide support and numerous resources for club members willing to begin their journey to becoming a certified actuary.",49656
6,"African Student Association","Identity","The purpose of African Student Association (ASA) is to expose African values, culture, and current events to the Xavier community. ASA seeks to address the misrepresentation of the African continent while simultaneously acknowledging the challenges facing the continent and upholding the foundations of the African culture.",33422
7,"Alchemyst Club","STEM","Alchemyst club promotes the enjoyment and knowledge of chemistry while encouraging solidarity and community in the Chemistry Department.",33659
8,"Alpha Epsilon Delta - Pre-Med Honor Society","Health & Wellness","Alpha Epsilon Delta (AED) is the National Health Pre-professional Honor Society dedicated to the encouragement and recognition of excellence in pre-professional health scholarship, including medicine, dentistry, veterinary, and others. The Society welcomes students engaged in the pursuit of a professional healthcare career. AED offers opportunities for intellectual and professional development, provides a forum for students with common interests, and extends a program of service to benefit the college/university community.  Acceptance is granted to students who have high academic achievements and have excelled in their extracurricular activities.",38521
9,"Alpha Kappa Alpha Sorority Inc.","Identity","The purpose of Alpha Kappa Alpha Sorority, Inc. is to cultivate and encourage high scholastic and ethical standards, promote unity and friendship among college women, alleviate problems concerning girls and women, maintain a progressive interest in college life, and to provide service to all mankind.",34648
10,"Alpha Phi Alpha Fraternity Inc.","Identity","Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, and provides service and advocacy for communities.",34647
11,"Alpha Sigma Nu - Jesuit Honor Society","Honors","",33324
12,"Alternative Breaks","Service & Social Justice","Xavier University's Alternative Breaks empowers and challenges all involved to understand his or her relationship with the global community through direct service, education, and reflection, while encouraging personal growth, social awareness, and active citizenship.",33295
14,"American Choral Directors Association","Education","American Choral Directors Association (ACDA) works to promote excellence in choral music at Xavier and the surrounding community. ACDA hosts guest speakers and performers, attends concerts and performances promoting choral music, encourages attendance at annual conferences, and holds regular meetings to discuss and advocate for choral music. ACDA seeks to serve both the national organization and the university.",85205
15,"American Marketing Association at Xavier","Business","All marketing majors are encouraged to join the American Marketing Association (AMA) chapter at Xavier. AMA seeks to offer marketing majors and other students the opportunity to gain a broader, realistic, more practically oriented exposure to marketing activities. These experiences enhance and augment the material being presented in the classroom. AMA strives to improve each member's marketability in today's highly competitive job market. AMA attempts to provide career guidance by functioning as a personal career-oriented liaison between club members and the marketing faculty. AMA functions as a marketing-consulting service for numerous clubs and organizations on campus.",34254
16,"Animals, People, and the Environment at Xavier","Service & Social Justice","Animals, People, and the Environment (APEX) educates the Xavier community on the importance of animal rights and its impact on the environment and people.",33435
17,"Art Society","Arts","Art Society consists of a group of students working in art related fields that are dedicated to providing opportunities for career growth, development of skills, networking, and involvement in the community.",103746
18,"Asian & American Students In Action (ASIA)","Identity","Asian & American Students in Action (ASIA) is dedicated to promoting the culture of Asian & American heritage students by sharing customs, values, and cultural experiences. By building relationships with the campus community, ASIA creates a support system for students that will serve as a lobbying voice for their political, cultural, and social interests and needs through solidarity.",48175
20,"Athletes in Action","Spirituality","Athletes in Action (AIA) is a movement of student athletes connecting with God and each other, who by being transformed by grace and truth help one another become the Total Athlete; one who is strong mentally, physically and spiritually.",33377
21,"Autism Speaks U","Service & Social Justice","Autism Speaks U is an initiative that supports college students in awareness, advocacy, and fundraising efforts for Autism Speaks. Autism Speaks has grown into the world's leading autism science and advocacy organization that is dedicated to funding research into the causes, prevention, treatments and a cure for autism; increasing awareness of autism spectrum disorders; and advocating for the needs of individuals with autism and their families.",58829
22,"Beta Alpha Psi - Finance Honor Society","Business","Beta Alpha Psi is an honorary organization for financial information students and professionals. The primary objective of Beta Alpha Psi is to encourage and give recognition to scholastic and professional excellence in the business information field. This includes promoting the study and practice of accounting, finance and information systems; providing opportunities for self-development, service and association among members and practicing professionals; and encouraging a sense of ethical, social, and public responsibility.",33359
23,"Biology Club","STEM","The Biology Club seeks to further the understanding and education of biology by connecting with nature both in the outdoors and through informal interactive lectures. Membership is open to all, regardless of major or career goal.",33424
24,"Bird Watching Club","STEM","Bird Watching Club is for any Xavier student wanting to observe, explore, and find the birds surrounding the greater Cincinnati area. Bird Watching Club's purpose is to educate students about the birds of the greater Cincinnati area. Participants will become accustom to the sights and sounds of the birds, all while experiencing various terrestrial biomes around Xavier. Towards the end of the academic year, participants will be encouraged to attend the annual birdathon, an event in which competitors seek to identify as many birds as possible in the Cincinnati area in a period of 24 hours.",60124
25,"Black Student Association","Identity","The Black Student Association (BSA) promotes the interests of the Black students of Xavier University, advocates their rights and privileges, and teaches the Xavier community and the public as a whole the significance of Black culture.",33454
27,"Business Leaders for Tomorrow","Business","Business Leaders for Tomorrow is a student organization that is dedicated to furthering the career goals of students in all majors by going out into the community and exploring business processes firsthand.  Business Leaders for Tomorrow continues to provide experiences for students and build the network into a tight-knit community.",33310
28,"Changing Health, Attitudes, and Action to Recreate Girls","Health & Wellness","Changing Health, Attitudes, and Actions to Recreate Girls (CHAARG) is a national organization that is dedicated to liberating girls from the elliptical since 2012. Currently at 18 chapters nationwide and with over two thousand members, CHAARG has expanded to Xavier University. CHAARG has main events once a week where they bring in group fitness instructors (such as yoga, self defense, boxing, etc.) to Xavier University, as well as a few excursions to the fitness studios themselves. CHAARG also offers small group workouts that are lead by each member of the exec team that girls have an option to choose from. The CHAARG headquarters offers various events such as annual fit plans and the CHAARG National Retreat. CHAARG offers a unique community feel and is a fantastic way to meet new people while finding the best way to get started on a health and fitness journey.",106150
30,"Children's Charities Club","Service & Social Justice","Children's Charities Club is dedicated to serving and advocating on behalf of children and children's charities through a combination of service work and fundraising. Each year Children's Charities Club picks a different charity to focus on and raise money for through fundraising and an annual 5K.",33555
31,"Child's Play","Service & Social Justice","Xavier University Child's Play is a game industry charity dedicated to improving the lives of children with toys and games donated to Cincinnati's Children Hospital. These donations allow for children to enjoy age-appropriate entertainment, interact with their peers, friends/family, and can provide vital distraction from an otherwise generally unpleasant experience of receiving treatments. Gamers will raise money for Child's Play by holding late night gaming sessions, and end our efforts with a marathon video game playing event.",66936
32,"Citizens of the World","Identity","The Citizens of the World (CoW) at Xavier University is dedicated to provide the Xavier community with the opportunity to discover the diverse cultures which exist at Xavier University. Also, CoW is dedicated to help international students adapt to American culture through different kinds of activities, where American students and international students can have an enriching and satisfying experience. Xavier students are encouraged to join and enjoy CoW where they will have the opportunity to meet students from all over the world and participate in various academic, social, service, and fundraising activities. CoW is open for those interested in cultures, languages, and traditions of other countries.",33382
33,"Club Baseball","Club Sports","Club Baseball provides the opportunity for students at Xavier University to continue playing baseball at a competitive level while encouraging a well-rounded individual.",37679
35,"Club Boxing","Club Sports","Club Boxing offers competitive training for those wishing to compete in the National Collegiate Boxing Association and non competitive training for physical fitness.",38372
37,"Club Equestrian Team","Club Sports","The Xavier Club Equestrian Team (XUET) participates and competes in the Intercollegiate Horse Show Association (IHSA) during the school year.  It is a team sport, with each rider in a class competing for points for the whole team, and is also an individual sport with a chance to participate at nationals every year (team or individual). XUET has lessons twice a week at CMC Show Stables, located in Union, Kentucky, with the coach Callie Miller. Horses are provided for lessons and shows. XUET goes to four-five shows a year, ranging 2-3 a semester. Since XUET competes in a larger region, the shows take place on the weekend, and there are two show days, Saturday and Sunday. XUET stays overnight in a hotel and carpools to the shows. Riders of any skill level can compete, from just starting out to seasoned riders. XUET is a young team looking for many new committed riders.",36771
38,"Club Fencing","Club Sports","Xavier's Club Fencing team is a great experience that provides students with the opportunity to enjoy fencing and find community within Xavier Club Sports. Club Fencing competes against 21 other teams in the Midwestern Fencing Conference (MFC) throughout the year, including the MFC Championship Tournament. Club Fencing is also part of the United States Association of Collegiate Fencing Clubs (USACFC) and competes in the USACFC national championship tournament against approximately 40 other teams. Many of the members also compete in the United States Fencing Association (USFA) independently from team competition in order to pursue individual ranking and recognition. Xavier Club Fencing is open to fencers of all experience and skill levels. It is a great opportunity for students to be introduced to fencing and learn the sport at a high economic value, and for experienced fencers to further develop their skills in a competitive environment. Club Fencing is a strong community of teammates and friends that offers a support system for our members so that all Xavier fencers can find opportunities to grow as an athlete and as a person.",37832
39,"Club Field Hockey","Club Sports","Xavier University Club Field Hockey welcomes athletes with all levels of experience to establish a foundation of moral integrity and personal growth on and off the field. Xavier University Field Hockey's goal is to promote academic achievement, mental and physical health, and foster a positive team environment to develop both skills and love of the game.",129751
40,"Club Golf","Club Sports","The Club Golf team is in its 10th year as a Club Sport at Xavier. Its inaugural season was in the Fall of 2007. The club has had constant growth since the first season, in both the number of team members and college teams that they compete against. Club Golf competes against colleges across the Midwest, including Miami (OH), Dayton, Ohio State, Louisville, Wright State, Ohio University, and Cincinnati.Along with one on one matches against some of these college club teams, the Xavier team joined the National Collegiate Club Golf Association (NCCGA) in the Spring 2010 season. The NCCGA is a league where college club golf teams come together to compete in two regional tournaments with a chance to travel to the national tournament to compete against the best college club teams in the United States.",38744
41,"Club Gymnastics","Club Sports","The Xavier Men's and Women's Gymnastics Club is a part of the National Association of Intercollegiate Gymnastics Clubs (NAIGC). The club competes in about 4-6 meets each year. The team travels around the Midwest during the regular season, competing against other universities, and around the country for a national championship each spring. Most of the competition season is during the spring semester, but practices run from October through April. Club Gymnastics is open to all people interested in trying the sport of gymnastics or keeping up with their gymnastics skills. There is no experience needed to be on the team.",36698
42,"Club Ice Hockey","Club Sports","Club Ice Hockey is a ACHA Division II & III club ice hockey team. Club Ice Hockey provides an unique experience of continuing to play hockey at the collegiate level (ACHA), and to develop skills essential for life outside the rink.",35753
43,"Club Running","Club Sports","Club Running is dedicated to running of all levels. Club Running's mission is to promote a healthy lifestyle through running; to provide support and motivation to other runners at Xavier University; to inspire members of the Xavier community to help organize, volunteer, and participate in charitable running events; and to help each member achieve their personal goals.",37982
44,"Club Softball","Club Sports","Club Softball creates a fun and competitive outlet for Xavier women to become involved in the Xavier community and play softball during the Fall and Spring semesters.",36562
